ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4715,11720,Steven Universe: Unleash the Light,Cartoon Network Games,2021.0,2021-02-19,GrumpyFace Studios,"Role Playing, Turn Based",,1484.8,Digital only,,nan,0,0,https://www.warnerbros.com/games-and-apps/unleash-light
4716,11721,Steven Universe: Unleash the Light (EU),Cartoon Network Games,2021.0,2021-02-19,GrumpyFace Studios,"Role Playing, Turn Based",,1484.8,Digital only,,nan,0,0,https://www.warnerbros.com/games-and-apps/unleash-light
4717,2425,Stick It To The Man,Ripstone,2014.0,2014-04-30,Zoink!,Platformer,"PS Plus, PS Now",1669.12,Physical and Digital,,5-6,0,0,http://www.stickitgame.com/
4718,-2293,Stickman World,,,,,,,NA,,,nan,0,0,http://www.stickmanworld.com/
4719,6233,Stifled,Sony Interactive Entertainment,2017.0,2017-10-31,Gattai Games,"Stealth, Survival Horror",,5222.4,Digital only,"PlayStation VR Compatible, PlayStation Camera Compatible",nan,0,0,http://stifledgame.com/
4720,6231,Stifled (EU),Sony Interactive Entertainment,2017.0,2017-10-31,Gattai Games,"Stealth, Survival Horror",,5222.4,Digital only,"PlayStation VR Compatible, PlayStation Camera Compatible",nan,0,0,http://stifledgame.com/
4721,4124,Stikbold! A Dodgeball Adventure,Curve Games,2016.0,2016-04-05,Game Swing,"Sports, Dodgeball, Party",PS Now,634.0,Physical and Digital,,8-10,0,0,http://www.stikbold.com/
4722,5840,Still Time,MixedBag Games,2017.0,2017-08-29,Alan Zucconi,"Puzzle, Platformer",,368.0,Digital only,,nan,0,0,http://www.stilltimegame.com/
4723,5848,Still Time (EU),MixedBag Games,2017.0,2017-08-29,Alan Zucconi,"Puzzle, Platformer",,368.0,Digital only,,nan,0,0,http://www.stilltimegame.com/
4724,13810,Stilstand,Nakana.io,2021.0,2021-11-05,Niila Games,,,NA,Digital only,,nan,0,0,http://niila.io/#hopeless
4725,12469,Stonefly,MWM Interactive,2021.0,2021-06-01,Flight School Studio,Action-Adventure,,NA,Digital only,PS4 Pro,nan,0,0,https://stoneflygame.com/
4726,12470,Stonefly (EU),MWM Interactive,2021.0,2021-06-01,Flight School Studio,Action-Adventure,,NA,Digital only,PS4 Pro,nan,0,0,https://stoneflygame.com/
4727,-3253,Stoneshard,,,,,,,NA,,,nan,0,0,https://stoneshard.com/
4728,11040,Stories Untold,Devolver Digital,2020.0,2020-10-27,No Code,Adventure,,2068.48,Digital only,,nan,0,0,https://devolverdigital.com/games/stories-untold
4729,11039,Stories Untold (EU),Devolver Digital,2020.0,2020-10-27,No Code,Adventure,,2068.48,Digital only,,nan,0,0,https://devolverdigital.com/games/stories-untold
