gameid,name,web,publisher,developer,release,platform,genre,hardware,notes,medium,size,completion est,links,features
8447,Nekketsu Renegade Kunio-kun,https://www.kuniokun.jp/the_world/,Arc System Works,"I.T.L., Technos Japan",16 April 2020,"Xbox One, Xbox Series X|S",Beat 'em up,,,Digital only,442MB,2-3 hours,Official site,
8448,Nekketsu! Street Basketball All-Out Dunk Heroes,https://www.kuniokun.jp/the_world/,Arc System Works,"I.T.L., Technos Japan",16 April 2020,"Xbox One, Xbox Series X|S","Sports, Basketball",,,Digital only,443MB,,Official site,
-3964,"Neko Ghost, Jump!",https://nekoghostjump.com/,,,,,,,,,,,Official site,
8627,Neon Abyss,https://www.veewo.com/neonabyss,Team17 Software,Veewo Games,14 July 2020,"Xbox One, Xbox Series X|S","Roguelite, Run & Gun",,"ID@Xbox, xCloud, Xbox Game Pass",Digital only,771MB,60-80 hours,Official site,
5958,Neon Chrome,http://www.neonchromegame.com/,10tons,10tons,08 June 2016,"Xbox One, Xbox Series X|S, Windows (Windows 10+)","Roguelite, Shoot 'em up",64-Bit,ID@Xbox,Digital only,321MB,15-20 hours,Official site,"Xbox One X Enhanced, 4K"
9085,Neon Chrome Overseer Edition,https://neonchromegame.com/,10tons,10tons,04 December 2020,"Xbox One, Xbox Series X|S","Roguelite, Shoot 'em up",,,Digital only,492MB,,Official site,"Xbox One X Enhanced, Smart Delivery, Optimized for Series X|S, 4K"
8346,Neon City Riders,http://www.neoncityriders.com/,Bromio,Mecha Studios,12 March 2020,"Xbox One, Xbox Series X|S",Action-Adventure,,ID@Xbox,Digital only,549MB,,Official site,
7769,Neon Junctions,http://9eyesgs.com/neon-junctions.html,Ratalaika Games,9 Eyes Game Studio,05 June 2019,"Xbox One, Xbox Series X|S","Puzzle, Platformer",,ID@Xbox,Digital only,401MB,1-2 hours,Official site,
7261,Neonwall,https://www.jandusoft.com/neonwall/,JanduSoft,Norain Games,13 September 2018,"Xbox One, Xbox Series X|S",Puzzle,,ID@Xbox,Digital only,842MB,,Official site,"Xbox One X Enhanced, 4K"
9111,Neoverse,https://www.sktelecom5gx.com/poc/html/game/neoverse.html,SK Telecom,Tino Games,17 December 2020,"Xbox One, Xbox Series X|S, Windows (Windows 10+)","Roguelite, Collectable Card Game, Turn Based",64-Bit,"ID@Xbox, xCloud, Xbox Game Pass, Xbox Game Pass for PC",Digital only,4.04GB,60-80 hours,Official site,xCloud Touch Controls
10069,NERF Legends,https://nerflegends.com/,GameMill Entertainment,Fun Labs,19 November 2021,"Xbox One, Xbox Series X|S",First Person Shooter,,,Physical and Digital,8.70GB,,Official site,
7423,NeuroBloxs,,DIGHENTIS,Alessandro Benedettini,21 November 2018,"Xbox One, Xbox Series X|S","Puzzle, Shoot 'em up",,ID@Xbox,Digital only,600MB,,,"Xbox One X Enhanced, 4K"
6375,NeuroVoider,http://neurovoider.com/,Plug In Digital,Flying Oak Games,17 March 2017,"Xbox One, Xbox Series X|S","Roguelite, Shoot 'em up",,ID@Xbox,Digital only,203MB,,Official site,
5324,Never Alone (Kisima Ingitchuna),http://neveralonegame.com/,E-Line Media,"Upper One Games, E-Line Media",18 November 2014,"Xbox One, Xbox Series X|S",Platformer,,ID@Xbox,Digital only,2.94GB,3-4 hours (excludes DLC packs),Official site,
-5107,NeverAwake,http://neverawake.neotro.jp/,,,,,,,,,,,Official site,
6293,Nevermind,http://www.nevermindgame.com/,Flying Mollusk,Flying Mollusk,11 January 2017,"Xbox One, Xbox Series X|S",Adventure,,ID@Xbox,Digital only,8.20GB,5-6 hours,Official site,
7754,Neverout,https://gamedust.co/neverout,Gamedust,Gamedust,28 May 2019,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Puzzle,,ID@Xbox,Digital only,1.45GB,1-2 hours,Official site,"Xbox One X Enhanced, Xbox Play Anywhere, 4K"
8603,Neversong,http://atmosgames.com/coma,Serenity Forge,"Atmos Games, Serenity Forge",16 July 2020,"Xbox One, Xbox Series X|S",Action-Adventure,,ID@Xbox,Digital only,3.05GB,,Official site,"Xbox One X Enhanced, 4K"
5439,Neverwinter,http://nw.perfectworld.com/,Perfect World Entertainment,Cryptic Studios,31 March 2015,"Xbox One, Xbox Series X|S","Role Playing, MMO, Dungeon Crawler",,,Digital only,21.47GB,200+ hours (excludes DLC packs),Official site,
5242,Neverwinter (CN),http://nw.perfectworld.com/,Perfect World Entertainment,Cryptic Studios,23 September 2014,Xbox One,"Role Playing, MMO, Dungeon Crawler",,,Digital only,12.16GB,,Official site,
5706,Neverwinter (HK),http://nw.perfectworld.com/,Perfect World Entertainment,Cryptic Studios,29 September 2015,"Xbox One, Xbox Series X|S","Role Playing, MMO, Dungeon Crawler",,,Digital only,9.14GB,,Official site,
8122,Neverwinter Nights: Enhanced Edition,https://www.beamdog.com/games/neverwinter-nights-enhanced/,Beamdog,"Beamdog, BioWare",03 December 2019,"Xbox One, Xbox Series X|S","Role Playing, Real Time",,ID@Xbox,Physical and Digital,9.14GB,,Official site,Cross-Play
8743,New Super Lucky's Tale,https://playfulstudios.com/new-super-luckys-tale/,Playful Studios,Playful Studios,21 August 2020,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Platformer,64-Bit,"xCloud, Xbox Game Pass, Xbox Game Pass for PC",Physical and Digital,6.50GB,10-12 hours,Official site,"Xbox One X Enhanced, Xbox Play Anywhere, 4K, xCloud Touch Controls"
7924,Newt One,http://devnari.com/,Whitethorn Digital,DevNAri,30 August 2019,"Xbox One, Xbox Series X|S",Platformer,,,Digital only,2.55GB,2-3 hours,Official site,"Xbox One X Enhanced, 4K, HDR"
9745,Nexomon,https://pqube.co.uk/nexomon-original/,PQube,VEWO Interactive,17 September 2021,"Xbox One, Xbox Series X|S","Role Playing, Turn Based",,ID@Xbox,Digital only,1.39GB,30-35 hours,Official site,"Smart Delivery, Optimized for Series X|S, 4K"
8829,Nexomon: Extinction,https://pqube.co.uk/nexomon-extinction/,PQube,VEWO Interactive,25 September 2020,"Xbox One, Xbox Series X|S","Role Playing, Turn Based",,ID@Xbox,Digital only,3.00GB,40-50 hours,Official site,
8855,Nexoria: Dungeon Rogue Heroes,http://ternoxgames.com/,TERNOX,TERNOX,14 October 2020,"Xbox One, Xbox Series X|S, Windows (Windows 10+)","Roguelite, Role Playing, Turn Based",64-Bit,ID@Xbox,Digital only,76MB,1-2 hours (excludes DLC packs),Official site,Xbox Play Anywhere
10098,Next Space Rebels,https://www.nextspacerebels.com/,Humble Games,Studio Floris Kaayk,17 November 2021,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Simulation,64-Bit,"ID@Xbox, xCloud, Xbox Game Pass, Xbox Game Pass for PC",Digital only,2.31GB,,Official site,
7129,Next Up Hero,http://nextuphero.com/,Aspyr Media,Digital Continue,28 June 2018,"Xbox One, Xbox Series X|S",Action-Adventure,,ID@Xbox,Digital only,2.74GB,20-25 hours,Official site,Cross-Play
5184,NHL 15,,Electronic Arts,EA Canada,09 September 2014,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,21.25GB,200+ hours,,
5592,NHL 16,https://www.easports.com/nhl-19/features/nhl-16,Electronic Arts,EA Canada,15 September 2015,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,19.10GB,200+ hours,Official site,
6080,NHL 17,,Electronic Arts,EA Canada,13 September 2016,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,24.14GB,200+ hours,,
6617,NHL 18,,Electronic Arts,EA Canada,15 September 2017,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,26.35GB,200+ hours,,"Xbox One X Enhanced, 4K"
7283,NHL 19,,Electronic Arts,EA Vancouver,14 September 2018,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,29.51GB,200+ hours,,"Xbox One X Enhanced, 4K"
7969,NHL 20,https://www.ea.com/games/nhl/nhl-20,Electronic Arts,EA Vancouver,13 September 2019,"Xbox One, Xbox Series X|S","Sports, Hockey",,"EA Play, Xbox Game Pass",Physical and Digital,34.37GB,80-100 hours,Official site,"Xbox One X Enhanced, 4K"
8907,NHL 21,https://www.ea.com/games/nhl/nhl-21,Electronic Arts,EA Vancouver,16 October 2020,"Xbox One, Xbox Series X|S","Sports, Hockey",,"EA Play, Xbox Game Pass",Physical and Digital,32.88GB,150-200 hours,Official site,4K
9986,NHL 22 (Xbox One),https://www.ea.com/games/nhl/nhl-22,Electronic Arts,EA Vancouver,15 October 2021,"Xbox One, Xbox Series X|S","Sports, Hockey",,,Physical and Digital,34.61GB,,Official site,HDR
9008,NHL 94 Rewind,https://www.ea.com/games/nhl/nhl-21/news/nhl-94-rewind,Electronic Arts,EA Vancouver,30 October 2020,"Xbox One, Xbox Series X|S","Sports, Hockey",,"EA Play, Xbox Game Pass",Digital only,323MB,2-3 hours,Official site,
9582,Niche - a genetics survival game,https://niche-game.com/,Stray Fawn Studio,Stray Fawn Studio,18 June 2021,"Xbox One, Xbox Series X|S","Strategy, Turn Based",,ID@Xbox,Digital only,966MB,,Official site,
9918,Nickelodeon All-Star Brawl,https://nickelodeonallstarbrawl.com/,GameMill Entertainment,"Fair Play Labs, Ludosity",05 October 2021,"Xbox One, Xbox Series X|S",Fighting,,,Physical and Digital,5.28GB,8-10 hours,Official site,"Smart Delivery, Optimized for Series X|S, 4K"
8789,Nickelodeon Kart Racers 2: Grand Prix,https://nickkartracers.com/,GameMill Entertainment,Bamtang,06 October 2020,"Xbox One, Xbox Series X|S","Automobile, Arcade Racing, Naval",,,Physical and Digital,4.78GB,15-20 hours,Official site,
7341,Nickelodeon: Kart Racers,http://game-mill.com/games/nickelodeon-kart-racers/?portfolioID=1620,GameMill Entertainment,Bamtang,23 October 2018,"Xbox One, Xbox Series X|S","Automobile, Arcade Racing, Naval",,,Physical and Digital,734MB,12-15 hours,Official site,
8654,Nicole,https://www.winterwolves.com/nicole.htm,Ratalaika Games,Winter Wolves,29 July 2020,"Xbox One, Xbox Series X|S",Visual Novel,,ID@Xbox,Digital only,258MB,0-1 hour,Official site,
7147,Nidhogg 2,http://nidhogggame.com/,Messhof,Messhof,18 July 2018,"Xbox One, Xbox Series X|S",Action,,ID@Xbox,Digital only,744MB,,Official site,
9400,NieR Replicant ver.1.22474487139...,https://nier.square-enix-games.com/en-us/,Square Enix,"ToyLogic, Cavia",23 April 2021,"Xbox One, Xbox Series X|S","Action-RPG, Role Playing, Hack & Slash",,,Physical and Digital,22.95GB,60-80 hours,Official site,
7123,NieR: Automata BECOME AS GODS Edition,https://www.niergame.com/,Square Enix,PlatinumGames,26 June 2018,"Xbox One, Xbox Series X|S","Action-RPG, Role Playing, Hack & Slash",,"xCloud, Xbox Game Pass",Digital only,44.79GB,40-50 hours,Official site,"Xbox One X Enhanced, 4K, xCloud Touch Controls, HDR"
7970,Niffelheim,https://www.niffelheim.com/,Ellada Games,Ellada Games,20 September 2019,"Xbox One, Xbox Series X|S",Survival,,,Digital only,1.42GB,,Official site,"Xbox One X Enhanced, 4K"
-2936,Night & Day,https://www.niffelheim.com/,,,,,,,,,,,,
9644,Night Book,https://www.walesinteractive.com/nightbook,Wales Interactive,"Good Gate Media, Wales Interactive",27 July 2021,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Visual Novel,64-Bit,ID@Xbox,Digital only,10.87GB,3-4 hours,Official site,
8578,Night Call,http://nightcall-game.com/presskit/,Raw Fury,"Monkey Moon, Black Muffin Studio",24 June 2020,"Xbox One, Xbox Series X|S","Adventure, Visual Novel",,ID@Xbox,Digital only,2.88GB,40-50 hours,Official site,
6818,Night In The Woods,http://www.nightinthewoods.com/,Finji,"Infinite Fall, 22nd Century Toys",13 December 2017,"Xbox One, Xbox Series X|S",Adventure,,"ID@Xbox, xCloud",Digital only,6.85GB,15-20 hours,Official site,
10042,Night Lights,,Ratalaika Games,Meridian4,26 November 2021,"Xbox One, Xbox Series X|S",Platformer,,ID@Xbox,Digital only,430MB,1-2 hours,,"Smart Delivery, Optimized for Series X|S, 4K"
-2241,Night Trap - 25th Anniversary Edition,http://www.screamingvillains.com/,,,,,,,,,,,Official site,
6743,Nightmare Boy,http://badlandindie.com/nightmare-boy/,BadLand Publishing,The Vanir Project,25 October 2017,"Xbox One, Xbox Series X|S","Metroidvania, Platformer",,ID@Xbox,Digital only,1.58GB,,Official site,
6083,Nightmares from the Deep 2: The Siren's Call,http://www.artifexmundi.com/page/nftd2/,Artifex Mundi,Artifex Mundi,26 August 2016,"Xbox One, Xbox Series X|S","Adventure, Point & Click",,ID@Xbox,Digital only,1.16GB,6-8 hours,Official site,
6874,Nightmares from the Deep 3: Davy Jones,https://www.artifexmundi.com/g/nightmares-from-the-deep-davy-jones/,Artifex Mundi,Artifex Mundi,02 February 2018,"Xbox One, Xbox Series X|S","Adventure, Point & Click",,ID@Xbox,Digital only,2.22GB,3-4 hours,Official site,"Xbox One X Enhanced, 4K"
5641,Nightmares from the Deep: The Cursed Heart,http://www.artifexmundi.com/page/nftd/,Artifex Mundi,Artifex Mundi,04 September 2015,"Xbox One, Xbox Series X|S","Adventure, Point & Click",,ID@Xbox,Digital only,797MB,6-8 hours,Official site,
6927,Nine Parchments,http://www.nineparchments.com/,Frozenbyte,Frozenbyte,07 March 2018,"Xbox One, Xbox Series X|S","Action-RPG, Role Playing, Real Time",,ID@Xbox,Digital only,3.17GB,30-35 hours,Official site,"Xbox One X Enhanced, 4K"
8919,Nine Witches: Family Disruption,https://www.ninewitches.com/,Blowfish Studios,Indiesruption,04 December 2020,"Xbox One, Xbox Series X|S","Adventure, Point & Click",,ID@Xbox,Digital only,289MB,3-4 hours,Official site,
9300,Ninja Gaiden 3: Razor's Edge,https://teamninja-studio.com/ngmc/,KOEI TECMO,"Team Ninja, KOEI TECMO",10 June 2021,"Xbox One, Xbox Series X|S",Hack & Slash,,,Digital only,4.55GB,60-80 hours,Official site,4K
9301,Ninja Gaiden Σ,https://teamninja-studio.com/ngmc/,KOEI TECMO,"Team Ninja, KOEI TECMO",10 June 2021,"Xbox One, Xbox Series X|S",Hack & Slash,,,Digital only,4.26GB,100-120 hours,Official site,4K
9302,Ninja Gaiden Σ2,https://teamninja-studio.com/ngmc/,KOEI TECMO,"Team Ninja, KOEI TECMO",10 June 2021,"Xbox One, Xbox Series X|S",Hack & Slash,,,Digital only,4.33GB,100-120 hours,Official site,4K
6039,Ninja Pizza Girl,http://www.disparitygames.com/ninja-pizza-girl/,Disparity Games,Disparity Games,20 July 2016,"Xbox One, Xbox Series X|S",Platformer,,ID@Xbox,Digital only,2.61GB,6-8 hours,Official site,
6713,Ninja Shodown,http://www.risingstargames.com/us/games/ninja-shodown/,Rising Star Games,Bitmap Bureau,06 October 2017,"Xbox One, Xbox Series X|S",Action,,ID@Xbox,Digital only,424MB,,Official site,
7259,Ninjin: Clash of Carrots,http://ninjingame.com/,Modus Games,Pocket Trap,04 September 2018,"Xbox One, Xbox Series X|S",Beat 'em up,,,Digital only,420MB,12-15 hours,Official site,
7470,Nippon Marathon,https://www.onionsoupinteractive.com/,PQube,Onion Soup Interactive,17 December 2018,"Xbox One, Xbox Series X|S",Action,,ID@Xbox,Digital only,3.21GB,8-10 hours,Official site,
9895,No Longer Home,https://www.fellowtraveller.games/no-longer-home,Fellow Traveller,Humble Grove,07 October 2021,"Xbox One, Xbox Series X|S",Adventure,,,Digital only,920MB,1-2 hours,Official site,
-5096,No Longer Human,https://www.fellowtraveller.games/no-longer-home,,,,,,,,,,,,
7176,No Man's Sky,https://www.nomanssky.com/,505 Games,Hello Games,24 July 2018,"Xbox One, Xbox Series X|S, Windows (Windows 10+)","Survival, Open World",64-Bit,"ID@Xbox, xCloud, Xbox Game Pass, Xbox Game Pass for PC",Physical and Digital,10.25GB,50-60 hours,Official site,"Xbox One X Enhanced, Smart Delivery, Optimized for Series X|S, 4K, Cross-Play, HDR"
8767,No Straight Roads,https://nostraightroads.com/,Sold Out Sales & Marketing,Metronomik,25 August 2020,"Xbox One, Xbox Series X|S",Action-Adventure,,,Physical and Digital,7.60GB,,Official site,
9662,NO THING,https://evilindiegames.com/no_thing/,Forever Entertainment,"Evil Indie Games, Forever Entertainment",06 August 2021,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Adventure,64-Bit,ID@Xbox,Digital only,354MB,0-1 hour,Official site,"Xbox One X Enhanced, 4K"
5540,No Time To Explain,,tinyBuild,tinyBuild,17 July 2015,"Xbox One, Xbox Series X|S",Platformer,,ID@Xbox,Digital only,1.38GB,6-8 hours,,
10138,No Time to Relax,https://www.notimetorelax.com/,Porcelain Fortress,Porcelain Fortress,01 December 2021,"Xbox One, Xbox Series X|S","Card & Board, Party",,ID@Xbox,Digital only,342MB,1-2 hours,Official site,Cross-Play
-3528,Noahmund,http://www.noahmund.com/,,,,,,,,,,,Official site,
